iter	Passed	Remaining
0	180	180227
1	183	91549
2	187	62213
3	189	47303
4	191	38180
5	193	32064
6	194	27647
7	196	24327
8	197	21716
9	198	19633
10	199	17927
11	200	16519
12	201	15326
13	203	14317
14	204	13446
15	206	12674
16	207	11991
17	208	11384
18	209	10840
19	211	10362
20	212	9926
21	214	9527
22	215	9161
23	216	8824
24	218	8509
25	219	8216
26	221	7965
27	222	7727
28	224	7515
29	226	7311
30	227	7114
31	229	6929
32	233	6833
33	234	6668
34	235	6505
35	237	6353
36	238	6215
37	240	6083
38	241	5953
39	242	5828
40	245	5737
41	246	5632
42	249	5543
43	250	5446
44	265	5644
45	271	5629
46	272	5533
47	275	5461
48	277	5378
49	279	5304
50	280	5227
51	282	5145
52	284	5076
53	285	5009
54	287	4935
55	288	4860
56	289	4790
57	290	4721
58	291	4655
59	292	4589
60	294	4527
61	295	4467
62	296	4410
63	299	4377
64	302	4351
65	304	4303
66	305	4254
67	306	4197
68	307	4152
69	309	4107
70	310	4066
71	313	4035
72	316	4019
73	317	3979
74	319	3943
75	321	3904
76	324	3892
77	326	3861
78	329	3840
79	332	3819
80	333	3788
81	335	3754
82	336	3721
83	338	3687
84	339	3649
85	340	3618
86	341	3580
87	344	3567
88	345	3538
89	346	3507
90	347	3474
91	349	3445
92	350	3415
93	351	3387
94	352	3358
95	353	3329
96	354	3301
97	355	3274
98	356	3248
99	358	3227
100	359	3203
101	360	3173
102	361	3148
103	362	3123
104	363	3098
105	364	3074
106	365	3051
107	366	3029
108	367	3007
109	369	2985
110	370	2964
111	371	2944
112	373	2927
113	374	2908
114	375	2889
115	376	2869
116	377	2849
117	378	2830
118	379	2810
119	380	2792
120	381	2774
121	383	2757
122	383	2735
123	384	2717
124	386	2702
125	387	2690
126	389	2675
127	390	2657
128	391	2643
129	392	2629
130	394	2614
131	395	2599
132	396	2584
133	397	2571
134	399	2557
135	401	2547
136	403	2540
137	404	2526
138	405	2513
139	407	2500
140	408	2487
141	410	2478
142	411	2465
143	412	2453
144	414	2446
145	416	2438
146	418	2427
147	420	2420
148	422	2410
149	423	2398
150	424	2387
151	425	2375
152	427	2365
153	428	2353
154	429	2342
155	430	2331
156	432	2322
157	433	2312
158	435	2301
159	436	2290
160	437	2280
161	438	2269
162	439	2259
163	441	2248
164	442	2238
165	443	2228
166	445	2219
167	446	2210
168	447	2201
169	449	2192
170	450	2182
171	451	2173
172	452	2164
173	453	2154
174	454	2144
175	456	2135
176	457	2125
177	458	2116
178	459	2106
179	460	2097
180	461	2086
181	462	2077
182	463	2068
183	464	2058
184	465	2049
185	466	2040
186	467	2031
187	468	2022
188	469	2013
189	470	2005
190	471	1996
191	472	1988
192	473	1980
193	474	1972
194	476	1966
195	478	1960
196	479	1952
197	480	1945
198	481	1937
199	482	1930
200	483	1923
201	485	1916
202	486	1908
203	487	1901
204	488	1895
205	490	1891
206	494	1896
207	496	1892
208	498	1887
209	499	1880
210	501	1874
211	502	1869
212	504	1863
213	506	1858
214	507	1852
215	508	1846
216	509	1839
217	511	1833
218	512	1827
219	513	1821
220	514	1815
221	516	1809
222	517	1803
223	519	1798
224	520	1792
225	521	1785
226	522	1779
227	523	1773
228	525	1767
229	526	1762
230	528	1760
231	533	1765
232	535	1763
233	537	1760
234	539	1756
235	542	1755
236	548	1767
237	558	1788
238	562	1792
239	574	1817
240	577	1818
241	578	1812
242	581	1809
243	584	1809
244	586	1806
245	588	1805
246	590	1801
247	593	1799
248	601	1813
249	603	1811
250	605	1806
251	606	1800
252	607	1794
253	608	1788
254	611	1787
255	615	1787
256	616	1783
257	618	1777
258	619	1772
259	621	1767
260	622	1763
261	626	1764
262	628	1762
263	629	1756
264	630	1749
265	632	1744
266	633	1738
267	634	1733
268	635	1727
269	636	1721
270	637	1715
271	639	1712
272	641	1708
273	642	1702
274	643	1697
